銘柄コード,銘柄名,市場
2122,インタースペース,東S
218A,Liberaware,東G
2321,ソフトフロントHL...,東G
2388,ウェッジHLDG,東G
2437,Shinwa Wi...,東S
2483,翻訳センター,東S
2597,ユニカフェ,東S
2652,まんだらけ,東S
2795,日本プリメックス,東S
2892,日本食品化工,東S
2907,あじかん,東S
3063,ジェイグループHLD...,東G
3350,メタプラネット,東S
3374,内外テック,東S
3490,アズ企画設計,東S
3494,マリオン,東S
3529,アツギ,東S
3583,オーベクス,東S
3625,テックファームHL...,東G
3753,フライトソリューシ...,東S
3776,ブロードバンドタワー,東S
3803,イメージ情報開発,東G
3840,パス,東S
3905,データセクション,東G
4054,日本情報クリエイト,東G
4424,Amazia,東G
5138,Rebase,東G
584A,LiNKX,東G
5905,日本製罐,東S
6030,アドベンチャー,東G
6335,東京機械製作所,東S
6659,メディアリンクス,東S
6912,菊水HLDG,東S
7022,サノヤスHLDG,東S
7120,SHINKO,東S
7134,アップガレージグル...,東S
7354,DmMIX,東S
7460,ヤギ,東S
7805,プリントネット,東S
8914,エリアリンク,東S
9082,大和自動車交通,東S
9399,ビートHLDG,東S
9973,KOZOHLDG,東S
