銘柄コード,銘柄名,市場
1407,ウエストＨＤ,スタンダード
153A,カウリス,グロース
2268,サーティワン,スタンダード
2351,ＡＳＪ,スタンダード
2408,ＫＧ情報,スタンダード
2459,アウン,スタンダード
255A,ＧＬテクノ,スタンダード
278A,テラドローン,グロース
298A,ＧＶＡテック,グロース
338A,ゼンムテック,グロース
3444,菊池製作,スタンダード
3449,テクノフレ,スタンダード
367A,プリモＧＨＤ,スタンダード
3936,ＧＷ,グロース
4288,アズジェント,スタンダード
4371,ＣＣＴ,グロース
4422,ＶＮＸ,グロース
4425,Ｋｕｄａｎ,グロース
4769,ＩＣ,スタンダード
4800,オリコン,スタンダード
485A,ＰｏｗｅｒＸ,グロース
4884,クリングル,グロース
4970,東洋合成,スタンダード
523A,セイワＨＤ,グロース
5241,日本オーエー,スタンダード
5279,日本興業,スタンダード
5537,アルバリンク,グロース
554A,バトンズ,グロース
558A,スクイーズ,グロース
5597,ブルーイノベ,グロース
5618,ナイル,グロース
5915,駒井ハルテク,スタンダード
6029,アトラＧ,スタンダード
6072,地盤ＨＤ,スタンダード
6217,津田駒,スタンダード
6232,ＡＣＳＬ,グロース
6265,コンバム,スタンダード
6276,シリウスＶ,スタンダード
6336,石井表記,スタンダード
6356,日ギア,スタンダード
6466,ＴＶＥ,スタンダード
6492,岡野バ,スタンダード
6554,エスユーエス,グロース
6769,ザイン,スタンダード
6777,ｓａｎｔｅｃ,スタンダード
6834,精工技研,スタンダード
6838,多摩川ＨＤ,スタンダード
6890,フェローテク,スタンダード
7031,インバウＴ,グロース
7043,アルー,グロース
7062,フレアス,グロース
7256,河西工,スタンダード
7284,盟和産,スタンダード
9236,ジャパンＭＡ,グロース
