銘柄コード,銘柄名,市場
9366,サンリツ,スタンダード
418A,ウリドキ,グロース
5367,ニッカトー,スタンダード
3441,山王,スタンダード
4242,タカギセイコ,スタンダード
6548,旅工房,グロース
460A,ＢＲＡＮＵ,グロース
9204,スカイマーク,グロース
