銘柄コード,銘柄名,市場
3422,Ｊ－ＭＡＸ,東S
6998,日本タングステン,東S
3907,シリコンスタジオ,東S
4234,サンエー化研,東S
1847,イチケン,東S
4052,フィーチャ,東G
1827,ナカノフドー建設,東S
6522,アスタリスク,東G
6138,ダイジェット工業,東S
4767,テー・オー・ダブリュー,東S
6400,不二精機,東S
3947,ダイナパック,東S
264A,Ｓｃｈｏｏ,東G
4417,グローバルセキュリティエキスパート,東G
5729,日本精鉱,東S
8045,横浜丸魚,東S
9425,ＲｅＹｕｕ Ｊａｐａｎ,東S
7527,システムソフト,東S
5985,サンコール,東S
603A,アイ・グリッド・ソリューションズ,東G
6357,三精テクノロジーズ,東S
3776,ブロードバンドタワー,東S
5966,京都機械工具,東S
5542,新報国マテリアル,東S
9082,大和自動車交通,東S
3856,Ａｂａｌａｎｃｅ,東S
6549,ディーエムソリューションズ,東S
6647,森尾電機,東S
1866,北野建設,東S
3173,Ｃｏｍｉｎｉｘ,東S
9896,ＪＫホールディングス,東S
9166,ＧＥＮＤＡ,東G
6656,インスペック,東S
2961,日本調理機,東S
6562,ジーニー,東G
3664,ＷＩＺＥ,東G
1438,岐阜造園,東S
1897,金下建設,東S
2122,インタースペース,東S
2597,ユニカフェ,東S
2999,ホームポジション,東S
3537,昭栄薬品,東S
4380,Ｍマート,東G
5458,高砂鐵工,東S
5845,全保連,東S
5905,日本製罐,東S
6083,ＥＲＩ ホールディングス,東S
6155,高松機械工業,東S
6360,東京自動機械製作所,東S
6863,ニレコ,東S
7119,ハルメクホールディングス,東G
7185,ヒロセ通商,東S
7213,レシップホールディングス,東S
7228,デイトナ,東S
8596,九州九州リースサービス,東S
