銘柄コード,銘柄名,市場
6555,MSコンサル,スタンダード
7256,川西工,スタンダード
9726,ＫＮＴＣＴ,スタンダード
9941,太洋物産,スタンダード
4437,GDH,グロース
7112,キューブ,グロース
7376,BCC,グロース
3196,デジプラ,グロース
4169,エネチェンジ,グロース
6566,要工業,スタンダード
4800,オリコン,スタンダード
4179,ジーネクスト,グロース
4488,ＡＩ　ｉｎｓｉｄｅ,グロース
