銘柄コード,銘柄名,市場
3907,シリコンスタジオ,東S
5845,全保連,東S
6337,テセック,東S
6977,日本抵抗器製作所,東S
2705,大戸屋ＨＤ,東S
5284,ヤマウＨＤ,東S
3851,日本一ソフトウェア,東S
3944,古林紙工業,東S
8254,さいか屋,東S
504A,イノバセル,東G
5242,アイズ,東G
6522,アスタリスク,東G
5240,monoAIテクノロジー,東G
4058,トヨクモ,東G
4424,Ａｍａｚｉａ,東G
4434,サーバーワークス,東G
