銘柄コード,銘柄名,市場
192A,インテグループ,東G
2345,HODL1,東S
2388,ウェッジHLDG,東G
2597,ユニカフェ,東S
2652,まんだらけ,東S
265A,Hmcomm,東G
2926,篠崎屋,東S
3035,ケイティケイ,東S
3133,海帆,東G
3237,イントランス,東G
325A,TENTIAL,東G
330A,TalentX,東G
3421,稲葉製作所,東S
3444,菊池製作所,東S
3698,CRI・ミドルウェア,東G
3723,日本ファルコム,東G
3787,テクノマセマティカル,東S
3989,シェアリングテクノロジー,東G
4120,スガイ化学工業,東S
421A,ムービン・ストラテジック・キャリア,東G
4258,網屋,東G
4389,プロパティデータバンク,東G
4414,フレクト,東G
4420,イーソル,東S
4424,Amazia,東G
4761,さくらケーシーエス,東S
4762,エックスネット,東S
4800,オリコン,東S
4833,Def consulting,東G
4910,ミスミグループ本社,東P
5258,トランザクション・メディア・ネットワークス,東G
584A,LiNKX,東G
589A,ネイス,東G
5942,日本フイルコン,東S
5967,TONE,東S
5997,協立エアテック,東S
6089,ERI HLDG,東S
6091,ウエスコHD,東S
6522,アスタリスク,東G
6837,京写,東S
6863,ニレコ,東S
6977,日本抵抗器製作所,東S
7041,CRG HLDG,東G
7063,Birdman,東G
7119,ハルメクHLDG,東G
7185,ヒロセ通商,東S
7196,Casa,東S
7480,スズデン,東S
7815,東京ボード工業,東S
7957,フジコピアン,東S
8104,クワザワHLDG,東S
8118,キング,東S
8844,コスモスイニシア,東S
8894,REVOLUTION,東S
9251,AB&Company,東G
9425,ReYuu Japan,東S
