銘柄コード,銘柄名,市場
2345,ＨＯＤＬ１,東S
2354,ＹＥ ＤＩＧＩＴＡＬ,東S
598A,チャットプラス,東G
9238,バリュークリエー...,東G
296A,令和アカウンティン...,東G
4762,エックスネット,東S
6977,日本抵抗器製作所,東S
5575,Ｇｌｏｂｅｅ,東G
3907,シリコンスタジオ,東S
5242,アイズ,東G
150A,ＪＳＨ,東G
9342,スマサポ,東G
2721,ジェイＨＬＤＧ,東S
3350,メタプラネット,東S
7138,ＴＯＲＩＣＯ,東G
4113,田岡化学工業,東S
6336,石井表記,東S
6085,アーキテクツ・スタ...,東G
325A,ＴＥＮＴＩＡＬ,東G
5246,ＥＬＥＭＥＮＴＳ,東G
6366,千代田化工建設,東S
6433,ヒーハイスト,東S
4935,リベルタ,東S
4889,レナサイエンス,東G
2962,テクニスコ,東S
4499,Ｓｐｅｅｅ,東S
219A,Ｈｅａｒｔｓｅｅｄ,東G
5588,ファーストアカウン...,東G
6493,ＮＩＴＴＡＮ,東S
6524,湖北工業,東S
4972,綜研化学,東S
4572,カルナバイオサイエ...,東G
7175,今村証券,東S
6548,旅工房,東G
3077,ホリイフードサービス,東S
2652,まんだらけ,東S
2683,魚喜,東S
2892,日本食品化工,東S
2917,大森屋,東S
2999,ホームポジション,東S
3181,買取王国,東S
3187,ミラタップ,東G
3277,サンセイランディック,東S
4074,ラキール,東G
428A,サイプレス・ＨＬＤＧ,東S
4441,トビラシステムズ,東S
4475,ＨＥＮＮＧＥ,東G
7305,新家工業,東S
7621,うかい,東S
