銘柄コード,銘柄名,市場
2303,ドーン,東S
2408,ＫＧ情報,東S
255A,ＧＬテクノ,東S
3035,ＫＴＫ,東S
4119,日ピグＨＤ,東S
4125,三和油化工業,東S
428A,サイプレス,東S
4441,トビラシステ,東S
4657,環境管理,東S
4970,東洋合成,東S
5699,イボキン,東S
5915,駒井ハルテク,東S
6157,日進工具,東S
6217,津田駒,東S
6265,コンバム,東S
6336,石井表記,東S
6666,リバーエレク,東S
6769,ザイン,東S
6834,精工技研,東S
7501,ティムコ,東S
7859,アルメディオ,東S
7871,フクビ,東S
8139,ナガホリ,東S
9307,杉村倉,東S
9972,アルテック,東S
205A,ロゴスＨＤ,東G
6232,ＡＣＳＬ,東G
7112,キューブ,東G
7375,リファバスＧ,東G
7376,ＢＣＣ,東G
