銘柄コード,銘柄名,市場
7815,東京ボード工業,東S
4265,Ｉｎｓｔｉｔｕｔｉ,東G
6522,アスタリスク,東G
1447,ＳＡＡＦＨＬＤＧ,東G
6696,トラース・オン・プロ,東G
6469,放電精密加工研究所,東S
4833,Ｄｅｆ ｃｏｎｓｕ,東G
4935,リベルタ,東S
9256,サクシード,東G
4881,ファンペップ,東G
9651,日本プロセス,東S
3647,アスリナ,東S
4446,Ｌｉｎｋ－Ｕグループ,東S
254A,ＡＩ フュージョン,東S
8918,ランド,東S
7352,ＴＷＯＳＴＯＮＥ＆,東G
264A,Ｓｃｈｏｏ,東G
9425,ＲｅＹｕｕ Ｊａｐ,東S
4539,日本ケミファ,東S
6549,ディーエムソリュ,東S
3494,マリオン,東S
6335,東京機械製作所,東S
8783,ａｂｃ,東S
286A,ユカリア,東G
2323,ｆｏｎｆｕｎ,東S
9557,エアークローゼット,東G
8131,ミツウロコグループ,東S
4746,東計電算,東S
145A,ＬｉｓＢ,東G
581A,ＧＯ,東G
4347,ブロードメディア,東S
137A,Ｃｏｃｏｌｉｖｅ,東G
3001,片倉工業,東S
2216,カンロ,東S
1770,藤田エンジニアリング,東S
2122,インタースペース,東S
2483,翻訳センター,東S
2597,ユニカフェ,東S
3776,ブロードバンドタワー,東S
4120,スカイ化学工業,東S
4175,ｃｏｌｙ,東G
4761,さくらケーシーエス,東S
4800,オリコン,東S
6577,ベストワンドットコム,東G
7185,ヒロセ通商,東S
7417,南陽,東S
7957,フジコピアン,東S
