銘柄コード,銘柄名,市場
278A,テラドローン,グロース
186A,アストロスケールHD,グロース
485A,パワーエックス,グロース
4179,ジーネクスト,グロース
460A,ＢＲＡＮＵ,グロース
4014,カラダノート,グロース
9331,キャスター,グロース
3825,リミックスポイント,スタンダード
9444,トーシンHD,スタンダード
6634,ＪＮグループ,スタンダード
