銘柄コード,銘柄名,市場
2388,ウェッジＨＬＤＧ,東G
6522,アスタリスク,東G
3133,海帆,東G
3989,シェアリングテクノロジー,東G
6977,日本抵抗器製作所,東S
7140,ペットゴー,東G
3529,アツギ,東S
6166,中村超硬,東G
4972,綜研化学,東S
462A,ＦＵＮＤＩＮＮＯ,東G
3664,ＷＩＺＥ,東G
3926,オープンドア,東S
7363,ベビーカレンダー,東G
5252,日本ナレッジ,東G
8254,さいか屋,東S
323A,フライヤー,東G
6022,赤阪鐵工所,東S
4444,インフォネット,東G
9478,ＳＥ Ｈ＆インキュベーション,東S
1447,ＳＡＡＦＨＬＤＧ,東G
4572,カルナバイオサイエンス,東G
3446,ジェイテックコーポレーション,東S
3667,ｅｎｉｓｈ,東S
352A,ＬＯＩＶＥ,東G
3070,ジェリービーンズグループ,東G
3565,アセンテック,東S
280A,ＴＭＨ,東G
4169,ＥＮＥＣＨＡＮＧＥ,東G
2404,鉄人化ＨＬＤＧ,東S
3607,クラウディアＨＬＤＧ,東S
3723,日本ファルコム,東G
5237,ノザワ,東S
589A,ネイス,東G
5966,京都機械工具,東S
6316,丸山製作所,東S
6577,ベストワンドットコム,東G
6778,アルチザネットワークス,東S
6870,日本フェンオール,東S
7196,Ｃａｓａ,東S
7425,初穂商事,東S
7460,ヤギ,東S
7462,ＣＡＰＩＴＡ,東S
7480,スズデン,東S
7781,平山ＨＬＤＧ,東S
7957,フジコピアン,東S
