銘柄コード,銘柄名,市場
142A,ジンジブ,グロース
177A,コージンＢ,グロース
1793,大本組,スタンダード
186A,アストロＨＤ,グロース
2180,サニーサイド,スタンダード
2901,Ｗディッシュ,スタンダード
2904,一正蒲鉾,スタンダード
3205,ダイドー,スタンダード
3422,Ｊ－ＭＡＸ,スタンダード
350A,ＤＧ,グロース
3537,昭栄薬品,スタンダード
3628,データＨＲ,グロース
3907,シリコンスタ,スタンダード
3948,光ビジネス,スタンダード
4058,トヨクモ,グロース
4125,三和油化工業,スタンダード
418A,ウリドキ,グロース
421A,ムービン,グロース
4259,エクサＷｉｚ,グロース
4367,広栄化学,スタンダード
4389,プロパテＤＢ,グロース
4415,ブロードＥ,グロース
4420,イーソル,スタンダード
4427,エデュラボ,グロース
4486,ユナイト,グロース
4588,オンコリス,グロース
464A,ＱＰＳＨＤ,グロース
4889,レナ,グロース
5139,オープンＷ,グロース
5218,オハラ,スタンダード
5381,マイポックス,スタンダード
5589,オートサーバ,スタンダード
558A,スクイーズ,グロース
5884,クラダシ,グロース
6085,アーキテクツ,グロース
6357,三精テクノロ,スタンダード
6518,三相電機,スタンダード
6969,松尾電,スタンダード
9256,サクシード,グロース
9888,ＵＥＸ,スタンダード
