銘柄コード,銘柄名,市場
247A,Ａｉロボ,東G
3691,デジタルプラス,東G
3970,イノベーション,東S
4418,ＪＤＳＣ,東G
5010,日精蝋,東S
5027,エニマインド,東G
584A,ＬｉＮＫＸ,東G
6045,レントラクス,東G
6085,アーキテクツスタジオジャパン,東G
6918,アバールデータ,東S
8995,誠建設,東S
9115,明海グループ,東S
9344,アクシスコンサルティング,東G
9467,アルファポリス,東G
9561,グラッドキューブ,東G
9563,アトラスＴ,東G
