銘柄コード,銘柄名,市場
5240,monoAI technology,東G
4381,ビープラッツ,東G
4424,Amazia,東G
4833,Def consulting,東G
2997,ストレージ王,東G
5018,MORESCO,東S
9399,ビートHLDG,東S
472A,ミラティブ,東G
4575,キャンバス,東G
4935,リベルタ,東S
5243,note,東G
4372,ユミルリンク,東G
9941,太洋物産,東S
7803,ブシロード,東G
5255,モンスターラボ,東G
7719,東京衡機,東S
5013,ユシロ,東S
3070,ジェリービーンズグループ,東G
5216,倉元製作所,東S
4238,ミライアル,東S
4880,セルソース,東S
9425,ReYuu Japan,東S
5574,ABEJA,東G
298A,GVA TECH,東G
4418,JDSC,東G
3810,サイバーステップ,東S
7837,アールシーコア,東S
7352,TWOSTONE&Partners,東G
254A,AIフュージョンキャピタルグループ,東S
2597,ユニカフェ,東S
2652,まんだらけ,東S
2892,日本食品化工,東S
2907,あじかん,東S
3184,ICDA HLDG,東S
3611,マツオカコーポレーション,東S
3851,日本一ソフトウェア,東S
421A,ムービン・ストラテジック・キャリア,東G
4761,さくらケーシーエス,東S
6096,レアジョブ,東S
6155,高松機械工業,東S
6230,SANEI,東S
6335,東京機械製作所,東S
7134,アップガレージグループ,東S
7460,ヤギ,東S
7462,CAPITA,東S
7702,JMS,東S
