銘柄コード,銘柄名,市場
9256,サクシード,東G
4531,有機合成薬品工業,東S
5985,サンコール,東S
6561,HANATOUR JAPAN,東G
5817,ＪＭＡＣＳ,東S
6217,津田駒工業,東S
6862,ミナトＨＬＤＧ,東S
6522,アスタリスク,東G
2673,夢みつけ隊,東S
6668,アドテックプラズマテクノロジー,東S
3845,アイフリークモバイル,東S
9704,アゴーラ ホスピタリティー グループ,東S
3441,山王,東S
9941,太洋物産,東S
6840,ＡＫＩＢＡ ＨＬＤＧ,東S
7726,黒田精工,東S
3803,イメージ情報開発,東G
469A,フィットクルー,東G
6338,タカトリ,東S
7713,シグマ光機,東S
2134,北浜キャピタルパートナーズ,東S
5820,三ッ星,東S
4625,アトミクス,東S
6343,フリージア・マクロス,東S
9982,タキヒヨー,東S
5951,ダイニチ工業,東S
6634,ＪＮグループ,東S
3976,シャノン,東G
2334,イオレ,東G
287A,黒田グループ,東S
2904,一正蒲鉾,東S
3374,内外テック,東S
3421,稲葉製作所,東S
5998,アドバネクス,東S
6083,ＥＲＩ ＨＬＤＧ,東S
6265,コンバム,東S
6570,共和コーポレーション,東S
6577,ベストワンドットコム,東G
6837,京写,東S
7196,Ｃａｓａ,東S
7371,Ｚｅｎｋｅｎ,東G
7480,スズデン,東S
7875,竹田ｉＰＨＬＤＧ,東S
8104,クワザワＨＬＤＧ,東S
