銘柄コード,銘柄名,市場
1770,藤田エンジニアリング,東S
195A,ＭＵＳＣＡＴ ＧＲ,東G
2122,インタースペース,東S
2340,極楽湯ＨＬＤＧ,東S
2351,ＡＳＪ,東S
254A,ＡＩ フュージョン,東S
2683,魚喜,東S
2892,日本食品化工,東S
2903,シノブフーズ,東S
2999,ホームポジション,東S
302A,ビースタイルＨＬＤＧ,東G
3168,ＭＥＲＦ,東S
3184,ＩＣＤＡ ＨＬＤＧ,東S
3187,ミラタップ,東G
3237,イントランス,東G
3454,ファーストブラザーズ,東S
3628,データホライゾン,東G
3647,アスリナ,東S
3851,日本一ソフトウェア,東S
3917,アイリッジ,東G
4175,ｃｏｌｙ,東G
4199,ワンダープラネット,東G
421A,ムービン・ストラテ,東G
4381,ビープラッツ,東G
4424,Ａmazia,東G
4427,ＥｄｕＬab,東G
4441,トビラシステムズ,東S
4935,リベルタ,東S
4998,フマキラー,東S
5018,ＭＯＲＥＳＣＯ,東S
5029,サークレイス,東G
5240,ｍｏｎｏＡＩ ｔｅ,東G
5252,日本ナレッジ,東G
5575,Ｇｌｏｂｅｅ,東G
6096,レアジョブ,東S
6157,日進工具,東S
6230,ＳＡＮＥＩ,東S
6552,ＧａmeＷｉｔｈ,東S
6573,ＣＲＡＶＩＡ,東G
6836,ぷらっとホーム,東S
7047,ポート,東G
7111,ＩＮＥＳＴ,東S
7138,ＴＯＲＩＣＯ,東G
7219,エッチ・ケー・エス,東S
7462,ＣＡＰＩＴＡ,東S
7523,アールビバン,東S
7803,ブシロード,東G
7815,東京ボード工業,東S
8115,ムーンバット,東S
8894,ＲＥＶＯＬＵＴＩＯＮ,東S
9327,イー・ロジット,東S
9331,キャスター,東G
9610,ウィルソン・ラーニ,東S
