銘柄コード,銘柄名,市場
2122,インタースペース,東S
335A,ミライロ,東G
3418,バルニバービ,東G
3560,ほぼ日,東S
3625,テックファームＨＬＤＧ,東G
3672,オルトプラス,東S
4069,ＢｌｕｅMｅｍｅ,東G
4165,プレイド,東G
4175,ｃｏｌｙ,東G
4193,ファブリカＨＬＤＧ,東S
4199,ワンダープラネット,東G
421A,ムービン・ストラテジック・キャリア,東G
4264,セキュア,東G
4380,Ｍマート,東G
4389,プロパティデータバンク,東G
4394,エクスモーション,東G
4428,シノプス,東G
4499,Ｓｐｅｅｅ,東S
4563,アンジェス,東G
4591,リボミック,東G
4667,アイサンテクノロジー,東S
4735,京進,東S
4762,エックスネット,東S
5189,櫻護謨,東S
550A,ソフトテックス,東S
5609,日本鋳造,東S
5616,雨風太陽,東G
584A,ＬｉｎｋＸ,東G
6037,楽待,東S
6577,ベストワンドットコム,東G
6778,アルチザネットワークス,東S
7041,ＣＲＧ ＨＬＤＧ,東G
7047,ポート,東G
7063,Ｂｉｒｄman,東G
7120,ＳＨＩＮＫＯ,東S
7134,アップガレージグループ,東S
7214,ＧＭＢ,東S
7360,オンデック,東G
7417,南陽,東S
7462,ＣＡＰＩＴＡ,東S
7477,ムラキ,東S
7505,扶桑電通,東S
7957,フジコピアン,東S
8704,トレイダーズＨＬＤＧ,東S
8938,グロームＨＬＤＧ,東G
9556,ＩＮＴＬＯＯＰ,東G
9704,アゴーラ ホスピタリティー グループ,東S
9972,アルテック,東S
