銘柄コード,銘柄名,市場
135A,ヴレインS,グロース
142A,ジンジブ,グロース
1436,グリーンエナ,グロース
2332,クエスト,スタンダード
2334,イオレ,グロース
2667,イメージワン,スタンダード
269A,Sapeet,グロース
2934,ジェイフロ,グロース
3131,シンデンハイ,スタンダード
3190,ホットマン,スタンダード
3374,内外テック,スタンダード
3444,菊池製作,スタンダード
3544,サツドラHD,スタンダード
3558,ジェイドG,グロース
3566,ユニネク,グロース
3652,DMP,グロース
3691,デジプラ,グロース
3766,システムズD,スタンダード
3791,IGポート,スタンダード
3810,CSHD,スタンダード
3900,クラウドW,グロース
3914,JIGSAW,グロース
402A,アクセルHD,グロース
4055,T&S・G,グロース
4169,エネチェンジ,グロース
428A,サイプレス,スタンダード
4425,Kudan,グロース
4427,エデュラボ,グロース
5589,オートサーバ,スタンダード
5597,ブルーイノベ,グロース
6156,エーワン精密,スタンダード
6217,津田駒,スタンダード
6262,ペガサス,スタンダード
6327,北川精機,スタンダード
6549,DMソリュ,スタンダード
6629,Tホライゾン,スタンダード
6668,ADプラズマ,スタンダード
6838,多摩川HD,スタンダード
6840,AKIBA,スタンダード
7162,アストマクス,スタンダード
7256,河西工,スタンダード
7291,日本プラスト,スタンダード
7317,松屋R&D,グロース
7480,スズデン,スタンダード
7707,PSS,グロース
9235,売れるG,グロース
9325,ファイズHD,スタンダード
9425,ReYuu,スタンダード
