銘柄コード,銘柄名,市場
4238,ミライアル,スタンダード
5530,日本SB,スタンダード
5998,アドバネクス,スタンダード
7883,サンメッセ,スタンダード
550A,ソフトテック,スタンダード
4356,応用技術,スタンダード
8746,unbank,スタンダード
3135,マーケットE,スタンダード
5572,リッジアイ,グロース
6031,ZETA,グロース
228A,オプロ,グロース
5134,POPER,グロース
4165,プレイド,グロース
