銘柄コード,銘柄名,売却日時,売却理由
350A,デジタルグリッド,2026/06/16,損切（-20％）
218A,LIBERAWARE,2026/06/04,損切（ドローン関連株下落）
5985,サンコール,2026/05/19,損切（決算後の株価下落）
4425,Kudan,2026/05/19,損切（決算後の株価下落）
6769,ザインエレクトロニクス,2026/05/13,損切（決算後の株価下落）
6666,リバーエレテック,2026/04/14,損切（他優先度高い銘柄へ）
